,statusText,price,address,addressZipcode,beds,baths,area,rentZestimate,variableData.text,units
446,House for rent,2195,"1942 Fortuna Ave, San Diego, CA 92109",92109,1.0,1.0,,2375.0,10 days ago,
447,Apartment for rent,2500,"838 Emerald St, San Diego, CA 92109",92109,1.0,1.0,550.0,2854.0,30 days ago,
448,Apartment for rent,2795,"Sail Bay Apartments, 1327-1335 Pacific Beach Dr #1327-01, San Diego, CA 92109",92109,2.0,1.0,,,1 day ago,
449,Apartment for rent,3150,"1518 Oliver Ave - C, 1518 Oliver Ave, San Diego, CA 92109",92109,2.0,1.0,750.0,,9 days ago,
450,House for rent,3850,"2605 Magnolia Ave, San Diego, CA 92109",92109,2.0,2.0,800.0,3200.0,37 days ago,
451,Apartment for rent,2995,"2 bed, 671 sqft, $2,995, 2720 Figueroa Blvd, San Diego, CA 92109",92109,2.0,1.0,671.0,2904.0,6 hours ago,
452,Apartment for rent,3895,"4316-18 Bayard St. - 2993L, 4316-18 Bayard St #4318-A, San Diego, CA 92109",92109,2.0,2.0,1100.0,,30 days ago,
453,Apartment for rent,3390,"2074 Felspar St, San Diego, CA 92109",92109,2.0,1.0,700.0,,42 days ago,
454,House for rent,5200,"2050 Diamond St, San Diego, CA 92109",92109,3.0,2.0,1300.0,5551.0,1 day ago,
455,Apartment for rent,3995,"4887 Bella Pacific Row UNIT 241, San Diego, CA 92109",92109,2.0,2.0,1110.0,3517.0,23 days ago,
456,Apartment for rent,4495,"1118 Thomas Ave, San Diego, CA 92109",92109,2.0,2.0,1000.0,4287.0,Video Walkthrough,
457,Apartment for rent,3095,"1 bed, $3,095, 1650 Emerald St #24, San Diego, CA 92109",92109,1.0,1.0,,,8 days ago,
458,Apartment for rent,3795,"4007 Everts St UNIT 2D, San Diego, CA 92109",92109,2.0,2.0,989.0,4496.0,39 days ago,
459,Apartment for rent,4500,"3991 Crown Point Dr UNIT 211, San Diego, CA 92109",92109,2.0,2.0,973.0,3521.0,6 days ago,
460,Apartment for rent,3645,"Shasta, 3880 Shasta St #A08, San Diego, CA 92109",92109,2.0,2.0,,,21 days ago,
461,Apartment for rent,3300,"731 Asbury Ct, San Diego, CA 92109",92109,1.0,1.0,500.0,2352.0,43 days ago,
462,Apartment for rent,5500,"3726 Riviera Dr APT D, San Diego, CA 92109",92109,2.0,2.5,1261.0,4126.0,42 days ago,
463,For Rent,3650,"1009 Hornblend St, San Diego, CA",92109,2,0,0,,23 days ago,"[{'price': '$3,650+', 'beds': '2'}, {'price': '$4,950+', 'beds': '3'}]"
464,For Rent,4950,"1009 Hornblend St, San Diego, CA",92109,3,0,0,,23 days ago,"[{'price': '$3,650+', 'beds': '2'}, {'price': '$4,950+', 'beds': '3'}]"
465,For Rent,2095,"1725 1/2 Diamond St, San Diego, CA",92109,1,0,0,,5 days ago,"[{'price': '$2,095+', 'beds': '1'}, {'price': '$2,950+', 'beds': '2'}]"
466,For Rent,2950,"1725 1/2 Diamond St, San Diego, CA",92109,2,0,0,,5 days ago,"[{'price': '$2,095+', 'beds': '1'}, {'price': '$2,950+', 'beds': '2'}]"
467,For Rent,3500,"8453 Via Mallorca, La Jolla, CA",92037,2,0,0,,13 days ago,"[{'price': '$3,500+', 'beds': '2'}]"
468,For Rent,7200,"909 Coast Blvd, La Jolla, CA",92037,2,0,0,,18 days ago,"[{'price': '$7,200+', 'beds': '2'}]"
469,La Jolla Canyon,2475,"9515 Genesee Ave, San Diego, CA",92121,1,0,0,,,"[{'price': '$2,475+', 'beds': '1'}, {'price': '$3,160+', 'beds': '2'}]"
470,La Jolla Canyon,3160,"9515 Genesee Ave, San Diego, CA",92121,2,0,0,,,"[{'price': '$2,475+', 'beds': '1'}, {'price': '$3,160+', 'beds': '2'}]"
471,Elan Pacific Lofts,2225,"4467 Dawes St, San Diego, CA",92109,2,0,0,,,"[{'price': '$2,225+', 'beds': '2'}]"
472,The Casas,2528,"10802 Camino Ruiz, San Diego, CA",92126,1,0,0,,,"[{'price': '$2,528+', 'beds': '1'}, {'price': '$2,844+', 'beds': '2'}]"
473,The Casas,2844,"10802 Camino Ruiz, San Diego, CA",92126,2,0,0,,,"[{'price': '$2,528+', 'beds': '1'}, {'price': '$2,844+', 'beds': '2'}]"
474,Sofi Westview,3300,"11760 Westview Pkwy, San Diego, CA",92126,2,0,0,,,"[{'price': '$3,300+', 'beds': '2'}, {'price': '$3,575+', 'beds': '3'}]"
475,Sofi Westview,3575,"11760 Westview Pkwy, San Diego, CA",92126,3,0,0,,,"[{'price': '$3,300+', 'beds': '2'}, {'price': '$3,575+', 'beds': '3'}]"
476,Casa Mira View,2650,"9800 Mira Lee Way, San Diego, CA",92126,1,0,0,,,"[{'price': '$2,650+', 'beds': '1'}, {'price': '$3,275+', 'beds': '2'}, {'price': '$4,250+', 'beds': '3'}]"
477,Casa Mira View,3275,"9800 Mira Lee Way, San Diego, CA",92126,2,0,0,,,"[{'price': '$2,650+', 'beds': '1'}, {'price': '$3,275+', 'beds': '2'}, {'price': '$4,250+', 'beds': '3'}]"
478,Casa Mira View,4250,"9800 Mira Lee Way, San Diego, CA",92126,3,0,0,,,"[{'price': '$2,650+', 'beds': '1'}, {'price': '$3,275+', 'beds': '2'}, {'price': '$4,250+', 'beds': '3'}]"
479,IMT Sorrento Valley,2345,"11102 Caminito Alvarez, San Diego, CA",92126,0,0,0,,Updated yesterday,"[{'price': '$2,345+', 'beds': '0'}, {'price': '$2,575+', 'beds': '1'}, {'price': '$2,750+', 'beds': '2'}]"
480,IMT Sorrento Valley,2575,"11102 Caminito Alvarez, San Diego, CA",92126,1,0,0,,Updated yesterday,"[{'price': '$2,345+', 'beds': '0'}, {'price': '$2,575+', 'beds': '1'}, {'price': '$2,750+', 'beds': '2'}]"
481,IMT Sorrento Valley,2750,"11102 Caminito Alvarez, San Diego, CA",92126,2,0,0,,Updated yesterday,"[{'price': '$2,345+', 'beds': '0'}, {'price': '$2,575+', 'beds': '1'}, {'price': '$2,750+', 'beds': '2'}]"
482,Sofi Highlands,3036,"11600 Compass Point Dr N, San Diego, CA",92126,2,0,0,,Updated yesterday,"[{'price': '$3,036+', 'beds': '2'}, {'price': '$3,493+', 'beds': '3'}]"
483,Sofi Highlands,3493,"11600 Compass Point Dr N, San Diego, CA",92126,3,0,0,,Updated yesterday,"[{'price': '$3,036+', 'beds': '2'}, {'price': '$3,493+', 'beds': '3'}]"
